"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[T]"     
          0,           0,         145,      -13.64402916,      -13.74062493,      -13.32390778,      -11.84815308
          0,           0,         146,      -13.68252076,      -13.78493995,       -13.3702895,      -11.88663641
          0,           0,         147,      -13.72084793,      -13.82977097,      -13.41686039,      -11.92497159
          0,           0,         148,      -13.75883592,      -13.87518196,       -13.4635076,      -11.96295201
          0,           0,         149,      -13.79666456,      -13.92027322,      -13.51033523,      -12.00078715
          0,           0,         150,      -13.83388662,      -13.96505461,      -13.55691051,      -12.03800507
          0,           0,         151,      -13.87078967,       -14.0097068,      -13.60346719,      -12.07491014
          0,           0,         152,      -13.90722727,      -14.05376894,      -13.64992382,       -12.1113467
          0,           0,         153,      -13.94315401,      -14.09706052,       -13.6962048,      -12.14727347
          0,           0,         154,      -13.97882938,      -14.14024855,      -13.74246114,       -12.1829509
          0,           0,         155,      -14.01423259,      -14.18361262,       -13.7889056,       -12.2183519
          0,           0,         156,      -14.04953019,      -14.22696249,      -13.83574159,      -12.25365097
          0,           0,         157,      -14.08455996,      -14.27041886,      -13.88258029,      -12.28868023
          0,           0,         158,      -14.11921632,      -14.31404998,      -13.92947829,       -12.3233357
          0,           0,         159,      -14.15359444,      -14.35721488,      -13.97637476,      -12.35771452
          0,           0,         160,      -14.18748883,      -14.39952353,      -14.02299485,      -12.39160751
          0,           0,         161,      -14.22096743,      -14.44105736,      -14.06935268,      -12.42508824
          0,           0,         162,       -14.2542538,      -14.48215937,      -14.11568207,      -12.45837231
          0,           0,         163,      -14.28725939,      -14.52303598,      -14.16222835,      -12.49137986
          0,           0,         164,      -14.32017942,      -14.56387491,      -14.20891535,      -12.52429843
          0,           0,         165,      -14.35291141,      -14.60524951,      -14.25574842,      -12.55703221
          0,           0,         166,      -14.38537492,      -14.64623634,      -14.30259743,      -12.58949558
          0,           0,         167,       -14.4176821,      -14.68649869,      -14.34939158,      -12.62180315
          0,           0,         168,       -14.4496326,      -14.72634146,      -14.39598751,      -12.65375315
          0,           0,         169,      -14.48142667,      -14.76532941,      -14.44247307,      -12.68554661
          0,           0,         170,      -14.51304648,      -14.80388844,      -14.48900945,      -12.71716557
          0,           0,         171,      -14.54441943,      -14.84209449,       -14.5354251,      -12.74853937
          0,           0,         172,       -14.5758002,      -14.88024672,      -14.58208392,      -12.77992263
          0,           0,         173,      -14.60694815,      -14.91853293,      -14.62874975,       -12.8110674
          0,           0,         174,       -14.6380242,      -14.95613228,       -14.6755408,      -12.84214315
          0,           0,         175,      -14.66897628,      -14.99347393,      -14.72221687,      -12.87309353
          0,           0,         176,      -14.69973134,      -15.03057919,      -14.76902009,      -12.90385265
          0,           0,         177,      -14.73046607,      -15.06682685,      -14.81573303,      -12.93458357
