"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
3574, 1.219797082381896e-01, 0.000000000000000e+00, -1.606773661708887e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000005598e-01, -3.213547323417774e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 9.148103024696815e-04, 0.000000000000000e+00, 6.672258462011601e+03, 1.466749824194263e+00
3639, 1.337003774790055e-01, 0.000000000000000e+00, -1.376810107713900e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.999999999991406e-01, -2.753620215427800e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 8.741514484714866e-04, 0.000000000000000e+00, 6.372278147677690e+03, 1.433784437349913e+00
3704, 1.465390530622068e-01, 0.000000000000000e+00, -1.181939216323686e-04, 0.000000000000000e+00, 0.000000000000000e+00, 4.999999999992664e-01, -2.363878432647372e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 8.352917573066793e-04, 0.000000000000000e+00, 6.085955967156437e+03, 1.401553303123521e+00
3769, 1.606030923565644e-01, 0.000000000000000e+00, -1.019501749755904e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000020535e-01, -2.039003499511808e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 7.981437764515412e-04, 0.000000000000000e+00, 5.812614738951326e+03, 1.370033186173913e+00
3834, 1.760100992569001e-01, 0.000000000000000e+00, -8.876892307238471e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000077439e-01, -1.775378461447694e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 7.626420469755381e-04, 0.000000000000000e+00, 5.551671272022305e+03, 1.339216816835384e+00
3899, 1.928889075911844e-01, 0.000000000000000e+00, -7.825389723572557e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000120813e-01, -1.565077944714511e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 7.287626373452503e-04, 0.000000000000000e+00, 5.302704167514196e+03, 1.309132398061194e+00
3964, 2.113806584326549e-01, 0.000000000000000e+00, -6.897192084398468e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000034139e-01, -1.379438416879694e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 6.965278925276040e-04, 0.000000000000000e+00, 5.065493858199646e+03, 1.279852077095933e+00
4029, 2.316399803254667e-01, 0.000000000000000e+00, -5.745783954595143e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.999999999657193e-01, -1.149156790919029e-04, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 6.659388628489679e-04, 0.000000000000000e+00, 4.839763332571378e+03, 1.251433283608122e+00
4094, 2.538362822929575e-01, 0.000000000000000e+00, -3.903835906330390e-05, 0.000000000000000e+00, 0.000000000000000e+00, 4.999999999739937e-01, -7.807671812660780e-05, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 6.367545889720166e-04, 0.000000000000000e+00, 4.624635872927991e+03, 1.223704517009606e+00
4159, 2.781551704406974e-01, 0.000000000000000e+00, -1.487914892126203e-05, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000000487019e-01, -2.975829784252406e-05, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 6.080939043473204e-04, 0.000000000000000e+00, 4.416148714216652e+03, 1.195847627809195e+00
4224, 3.048000000000000e-01, 0.000000000000000e+00, 7.730621318179552e-06, 0.000000000000000e+00, 0.000000000000000e+00, 5.000000002112455e-01, 1.546124263635910e-05, 1.000000000000000e+00, 2.342384540372244e-07, 6.250008164802276e+01, 2.033322569782382e-05, 5.782266859286889e-04, 0.000000000000000e+00, 4.211980772401071e+03, 1.166110180526207e+00
