"Density","Heat_Capacity","Heat_Flux","Laminar_Viscosity","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Thermal_Conductivity","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,62.5,0,2.3424e-07,7.0331e-06,1.4066e-05,0,0,0,1,2.0333e-05,1.0003,0.00079861,0,0,1,0.0032,0.3048,0.0032,0
1,62.5,0,2.3424e-07,7.0147e-06,1.4029e-05,0,0,0,1,2.0333e-05,1.0003,0.00079863,0,0,1,0.00325,0.3048,0.00325,0
1,62.5,0,2.3424e-07,6.9963e-06,1.3993e-05,0,0,0,1,2.0333e-05,1.0003,0.00079866,0,0,1,0.0033,0.3048,0.0033,0
1,62.5,0,2.3424e-07,6.9779e-06,1.3956e-05,0,0,0,1,2.0333e-05,1.0003,0.00079868,0,0,1,0.00335,0.3048,0.00335,0
1,62.5,0,2.3424e-07,6.9596e-06,1.3919e-05,0,0,0,1,2.0333e-05,1.0003,0.00079871,0,0,1,0.0034,0.3048,0.0034,0
1,62.5,0,2.3424e-07,6.9414e-06,1.3883e-05,0,0,0,1,2.0333e-05,1.0003,0.00079873,0,0,1,0.00345,0.3048,0.00345,0
1,62.5,0,2.3424e-07,6.9231e-06,1.3846e-05,0,0,0,1,2.0333e-05,1.0003,0.00079876,0,0,1,0.0035,0.3048,0.0035,0
1,62.5,0,2.3424e-07,6.9049e-06,1.381e-05,0,0,0,1,2.0333e-05,1.0003,0.00079879,0,0,1,0.00355,0.3048,0.00355,0
1,62.5,0,2.3424e-07,6.8867e-06,1.3773e-05,0,0,0,1,2.0333e-05,1.0003,0.00079881,0,0,1,0.0036,0.3048,0.0036,0
1,62.5,0,2.3424e-07,6.8685e-06,1.3737e-05,0,0,0,1,2.0333e-05,1.0003,0.00079884,0,0,1,0.00365,0.3048,0.00365,0
1,62.5,0,2.3424e-07,6.8503e-06,1.3701e-05,0,0,0,1,2.0333e-05,1.0003,0.00079886,0,0,1,0.0037,0.3048,0.0037,0
1,62.5,0,2.3424e-07,6.8323e-06,1.3665e-05,0,0,0,1,2.0333e-05,1.0003,0.00079889,0,0,1,0.00375,0.3048,0.00375,0
1,62.5,0,2.3424e-07,6.8142e-06,1.3628e-05,0,0,0,1,2.0333e-05,1.0003,0.00079891,0,0,1,0.0038,0.3048,0.0038,0
1,62.5,0,2.3424e-07,6.7962e-06,1.3592e-05,0,0,0,1,2.0333e-05,1.0003,0.00079894,0,0,1,0.00385,0.3048,0.00385,0
1,62.5,0,2.3424e-07,6.7782e-06,1.3556e-05,0,0,0,1,2.0333e-05,1.0003,0.00079896,0,0,1,0.0039,0.3048,0.0039,0
1,62.5,0,2.3424e-07,6.7602e-06,1.352e-05,0,0,0,1,2.0333e-05,1.0003,0.00079899,0,0,1,0.00395,0.3048,0.00395,0
1,62.5,0,2.3424e-07,6.7421e-06,1.3484e-05,0,0,0,1,2.0333e-05,1.0003,0.00079901,0,0,1,0.004,0.3048,0.004,0
1,62.5,0,2.3424e-07,6.7242e-06,1.3448e-05,0,0,0,1,2.0333e-05,1.0003,0.00079904,0,0,1,0.00405,0.3048,0.00405,0
1,62.5,0,2.3424e-07,6.7064e-06,1.3413e-05,0,0,0,1,2.0333e-05,1.0003,0.00079906,0,0,1,0.0041,0.3048,0.0041,0
1,62.5,0,2.3424e-07,6.6886e-06,1.3377e-05,0,0,0,1,2.0333e-05,1.0003,0.00079909,0,0,1,0.00415,0.3048,0.00415,0
1,62.5,0,2.3424e-07,6.6708e-06,1.3342e-05,0,0,0,1,2.0333e-05,1.0003,0.00079911,0,0,1,0.0042,0.3048,0.0042,0
1,62.5,0,2.3424e-07,6.653e-06,1.3306e-05,0,0,0,1,2.0333e-05,1.0003,0.00079914,0,0,1,0.00425,0.3048,0.00425,0
1,62.5,0,2.3424e-07,6.6352e-06,1.327e-05,0,0,0,1,2.0333e-05,1.0003,0.00079916,0,0,1,0.0043,0.3048,0.0043,0
1,62.5,0,2.3424e-07,6.6174e-06,1.3235e-05,0,0,0,1,2.0333e-05,1.0003,0.00079919,0,0,1,0.00435,0.3048,0.00435,0
1,62.5,0,2.3424e-07,6.5996e-06,1.3199e-05,0,0,0,1,2.0333e-05,1.0003,0.00079921,0,0,1,0.0044,0.3048,0.0044,0
1,62.5,0,2.3424e-07,6.5819e-06,1.3164e-05,0,0,0,1,2.0333e-05,1.0003,0.00079924,0,0,1,0.00445,0.3048,0.00445,0
1,62.5,0,2.3424e-07,6.5643e-06,1.3129e-05,0,0,0,1,2.0333e-05,1.0003,0.00079926,0,0,1,0.0045,0.3048,0.0045,0
1,62.5,0,2.3424e-07,6.5468e-06,1.3094e-05,0,0,0,1,2.0333e-05,1.0003,0.00079929,0,0,1,0.00455,0.3048,0.00455,0
1,62.5,0,2.3424e-07,6.5292e-06,1.3058e-05,0,0,0,1,2.0333e-05,1.0003,0.00079931,0,0,1,0.0046,0.3048,0.0046,0
1,62.5,0,2.3424e-07,6.5116e-06,1.3023e-05,0,0,0,1,2.0333e-05,1.0003,0.00079934,0,0,1,0.00465,0.3048,0.00465,0
1,62.5,0,2.3424e-07,6.4941e-06,1.2988e-05,0,0,0,1,2.0333e-05,1.0003,0.00079936,0,0,1,0.0047,0.3048,0.0047,0
1,62.5,0,2.3424e-07,6.4765e-06,1.2953e-05,0,0,0,1,2.0333e-05,1.0003,0.00079939,0,0,1,0.00475,0.3048,0.00475,0
1,62.5,0,2.3424e-07,6.459e-06,1.2918e-05,0,0,0,1,2.0333e-05,1.0003,0.00079941,0,0,1,0.0048,0.3048,0.0048,0
1,62.5,0,2.3424e-07,6.4414e-06,1.2883e-05,0,0,0,1,2.0333e-05,1.0003,0.00079944,0,0,1,0.00485,0.3048,0.00485,0
1,62.5,0,2.3424e-07,6.4241e-06,1.2848e-05,0,0,0,1,2.0333e-05,1.0003,0.00079946,0,0,1,0.0049,0.3048,0.0049,0
1,62.5,0,2.3424e-07,6.4068e-06,1.2814e-05,0,0,0,1,2.0333e-05,1.0003,0.00079948,0,0,1,0.00495,0.3048,0.00495,0
1,62.5,0,2.3424e-07,6.3895e-06,1.2779e-05,0,0,0,1,2.0333e-05,1.0003,0.00079951,0,0,1,0.005,0.3048,0.005,0
